Movie_Link,Movie_Name,Ratings,Movie_category,Film_Actor,Release_Date,Duration,Country,Original_Language,Companies,Description,Budget,Box Office,Certificate (MPAA),Directors,Writing_Credits,poster_path
https://www.imdb.com/title/tt0071033/?ref_=sr_t_1,Planet of the Apes,7.0,"Adventure, Sci-Fi, Thriller","Roddy McDowall, Ron Harper, James Naughton, Mark Lenard, Ron Stein, Booth Colman, Eldon Burke, Tom McDonough, Jacqueline Scott, John Hoyt, John Milford, Martin E. Brooks, Pat Renella, Bobby Porter, Biff Elliot, William Beckley, Wayne Foster, Nick Dimitri","September 13, 1974 (United States)",47 minutes,United States,English,20th Century Fox Television,Two astronauts and a sympathetic chimp friend are fugitives in a future Earth dominated by a civilization of humanoid apes.,,,TV-PG,"Arnold Laven, Don McDougall, Bernard McEveety, Don Weis, Alf Kjellin, John Meredyth Lucas, Ralph Senensky, Jack Starrett","Pierre Boulle, Howard Dimsdale, Howard Dimsdale, Joe Ruby, Joe Ruby, Ken Spears, Ken Spears, Anthony Wilson, Edward J. Lakso, Robert W. Lenski, Art Wallace, Walter Black, Booker Bradshaw, Arthur Browne Jr., Richard Collins, Robert Hamner, Anthony Lawrence, Anthony Lawrence, David P. Lewis, Barry Oringer, Shimon Wincelberg, Shimon Wincelberg","https://m.media-amazon.com/images/M/MV5BMTY1MzQ4ODc1M15BMl5BanBnXkFtZTcwMTU2NDkzMQ@@._V1_QL75_UY281_CR4,0,190,281_.jpg"
https://www.imdb.com/title/tt0120755/?ref_=sr_t_2,Mission: Impossible II,6.1,"Action, Adventure, Thriller","Tom Cruise, Dougray Scott, Thandiwe Newton, Ving Rhames, Richard Roxburgh, John Polson, Brendan Gleeson, Rade Serbedzija, William Mapother, Dominic Purcell, Mathew Wilkinson, Nicholas Bell, Cristina Brogeras, Kee Chan, Kim Fleming, Alan Lovell, Dan Luxton, Christian Manon","May 24, 2000 (United States)",2 hours 3 minutes,United States,English,"Paramount Pictures, Cruise/Wagner Productions, Munich Film Partners & Company (MFP) MI2 Productions","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".","$125,000,000 (estimated)","$546,388,108",PG-13,John Woo,"Bruce Geller, Ronald D. Moore, Brannon Braga, Robert Towne","https://m.media-amazon.com/images/M/MV5BN2RkYWVkZDQtNTMxMi00NWQ4LWE2ODctNmQzOWM2NjQzYzdlXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
https://www.imdb.com/title/tt0089941/?ref_=sr_t_3,Runaway Train,7.2,"Action, Adventure, Drama","Jon Voight, Eric Roberts, Rebecca De Mornay, Kyle T. Heffner, John P. Ryan, T.K. Carter, Kenneth McMillan, Stacey Pickren, Walter Wyatt, Edward Bunker, Reid Cruickshanks, Dan Wray, Michael Lee Gogin, John Bloom, Hank Worden, John Otrin, Norman Alexander Gibbs, Dennis Ott","January 17, 1986 (United States)",1 hour 51 minutes,United States,English,"Golan-Globus Productions, Northbrook Films",Two escaped convicts and a female railway worker find themselves trapped on a speeding train with no brakes and nobody driving.,"$9,000,000 (estimated)","$7,683,620",R,Andrey Konchalovskiy,"Akira Kurosawa, Djordje Milicevic, Paul Zindel, Edward Bunker, Ryûzô Kikushima, Hideo Oguni","https://m.media-amazon.com/images/M/MV5BODQyYWU1NGUtNjEzYS00YmNhLTk1YWEtZDdlZGQzMTI4MTI1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,5,190,281_.jpg"
https://www.imdb.com/title/tt0460637/?ref_=sr_t_4,Everybody Hates Chris,7.5,"Comedy, Drama, Music","Terry Crews, Tichina Arnold, Tequan Richmond, Imani Hakim, Tyler James Williams, Chris Rock, Vincent Martella, Travis Flory, Jacqueline Mazarella, Kevontay Jackson, Ernest Thomas, Jeris Poindexter, Michel Estime, Antonio Fargas, Jackée Harry, Blake Hightower, Todd Bridges, Paige Hurd","September 22, 2005 (United States)",22 minutes,United States,English,"Chris Rock Entertainment, 3 Arts Entertainment, Paramount Network Television",A young African-American teen attempts to survive with his dysfunctional family and his all-white school in the 1980s.,,,TV-PG,"Jerry Levine, Debbie Allen, Keith Truesdell, Ken Whittingham, Lev L. Spiro, Ali LeRoi, Millicent Shelton, Eric Laneuville, Ted Wass, Victor Nelli Jr., Chris Rock, Matt Shakman, Jason Alexander, Dennie Gordon, Reginald Hudlin, Gina Prince-Bythewood, Tamra Davis, Malcolm D. Lee, Jeff Melman, Linda Mendoza, Eyal Gordin, Kelsey Grammer, Arlene Sanford, Anton Cropper, Oz Scott","Ali LeRoi, Ali LeRoi, Ali LeRoi, Ali LeRoi, Ali LeRoi, Chris Rock, Chris Rock, Rodney Barnes, Rodney Barnes, Rodney Barnes, Alyson Fouse, Alyson Fouse, Adrienne Carter, Adrienne Carter, Matthew Claybrooks, Matthew Claybrooks, Andrew Orenstein, Andrew Orenstein, Andrew Orenstein, Aeysha Carr, Aeysha Carr, Aeysha Carr, Adam Lorenzo, Adam Lorenzo, Adam Lorenzo, Chuck Sklar, Chuck Sklar, Chuck Sklar, Aron Abrams, Aron Abrams, Aron Abrams, Gregory Thompson, Gregory Thompson, Gregory Thompson, Frank Sebastiano, Frank Sebastiano, Jason M. Palmer, Jason M. Palmer, Kriss Turner, Kriss Turner, Kevin Garnett, Kevin Garnett, Lance Crouther, Lance Crouther, Warren Hutcherson, Luisa Leschin, Craig DiGregorio, Howard Gewirtz, Courtney Lilly, Felicia D. Henderson, Lisa Parsons, Devon Shepard, Alessia Costantini, Sarah Jane Cunningham, Suzie V. Freeman, Kristi Korzec, Alison McDonald, Don Reo, Shawn Thomas","https://m.media-amazon.com/images/M/MV5BNWMxZjQ0MjgtOTVjMC00OGI5LThjYTAtYzg3ZDNjYmNlMzk5XkEyXkFqcGdeQXVyMTA0MTM5NjI2._V1_QL75_UX190_CR0,2,190,281_.jpg"
https://www.imdb.com/title/tt0052864/?ref_=sr_t_5,Green Mansions,5.3,"Adventure, Drama, Romance","Audrey Hepburn, Anthony Perkins, Lee J. Cobb, Sessue Hayakawa, Henry Silva, Nehemiah Persoff, Michael Pate, Estelle Hemsley, Yoneo Iguchi, Bill Saito, Ron Veto","May 20, 1959 (Japan)",1 hour 44 minutes,United States,English,Metro-Goldwyn-Mayer (MGM),A young man in the jungles of Venezuela meets a strange girl of the forest and falls in love with her.,"$3,288,000 (estimated)",,Approved,Mel Ferrer,"Dorothy Kingsley, William Henry Hudson","https://m.media-amazon.com/images/M/MV5BZGVmYjRlOTAtOGFjNC00OTYyLWE1ODktOTEwMWYzMWEyNDExXkEyXkFqcGdeQXVyMjU5OTg5NDc@._V1_QL75_UX190_CR0,5,190,281_.jpg"
https://www.imdb.com/title/tt8784956/?ref_=sr_t_6,Ava,5.5,"Action, Drama, Thriller","Jessica Chastain, John Malkovich, Common, Geena Davis, Jess Weixler, Ioan Gruffudd, Diana Silvers, Joan Chen, Colin Farrell, Efka Kvaraciejus, Christopher J. Domig, Michel Muller, Dieter Riesle, Aramis Merlin, Michael Guarnera, Bruce-Robert Serafin, Jeff Bellin, Martin Lee","September 25, 2020 (United States)",1 hour 36 minutes,United States,English,"Freckle Films, Leeding Media, Voltage Pictures","Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival.",,,R,Tate Taylor,Matthew Newton,"https://m.media-amazon.com/images/M/MV5BMTMzMTg1MjgtOWNhYy00NmZmLWExOTctMjA2OTZhZDFkNDhhXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
https://www.imdb.com/title/tt0099052/?ref_=sr_t_7,Arachnophobia,6.5,"Comedy, Horror, Thriller","Jeff Daniels, Julian Sands, John Goodman, Harley Jane Kozak, Stuart Pankin, Brian McNamara, Mark L. Taylor, Henry Jones, Peter Jason, James Handy, Roy Brocksmith, Kathy Kinney, Mary Carver, Garette Ratliff Henson, Marlene Katz, Jane Marla Robbins, Theo Schwartz, Cori Wellins","July 18, 1990 (United States)",1 hour 49 minutes,United States,English,"Hollywood Pictures, Amblin Entertainment, Interscope Communications","A new species of South American killer spider hitches a lift to a small California town in a coffin and starts to breed, leaving a trail of deaths that puzzle and terrify the young doctor newly arrived in town with his family.","$22,000,000 (estimated)","$53,208,180",PG-13,Frank Marshall,"Don Jakoby, Al Williams, Don Jakoby, Wesley Strick","https://m.media-amazon.com/images/M/MV5BMjExNTcyMjI2Ml5BMl5BanBnXkFtZTgwMDgwNTg4NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
https://www.imdb.com/title/tt1188113/?ref_=sr_t_8,Peacock,6.2,"Drama, Mystery, Thriller","Cillian Murphy, Elliot Page, Susan Sarandon, Josh Lucas, Bill Pullman, Graham Beckel, Keith Carradine, Eden Bodnar, Chris Carlson, Flynn Milligan, Virginia Newcomb, Jaimi Paige, Nathan Christopher, Richard Latch, Tate Hustedt, Tory Schaefer, Craig Michael, Scott Schulte","May 28, 2010 (Brazil)",1 hour 30 minutes,United States,English,"Cornfield Productions, Mandate Pictures",A train accident in rural Nebraska gradually unveils a mystery involving the town's bank clerk.,,,PG-13,Michael Lander,"Michael Lander, Ryan O Roy","https://m.media-amazon.com/images/M/MV5BMjA3MTg2NDA0Ml5BMl5BanBnXkFtZTcwNzI4ODIzMw@@._V1_QL75_UY281_CR4,0,190,281_.jpg"
https://www.imdb.com/title/tt0066999/?ref_=sr_t_9,Dirty Harry,7.7,"Action, Crime, Thriller","Clint Eastwood, Andrew Robinson, Harry Guardino, Reni Santoni, John Vernon, John Larch, John Mitchum, Mae Mercer, Lyn Edgington, Ruth Kobart, Woodrow Parfrey, Josef Sommer, William Paterson, James Nolan, Maurice Argent, Jo de Winter, Craig Kelly, Ann Bowen","December 23, 1971 (United States)",1 hour 42 minutes,United States,English,The Malpaso Company,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath.","$4,000,000 (estimated)","$35,988,495",R,"Don Siegel, Clint Eastwood","Harry Julian Fink, Rita M. Fink, Dean Riesner, Harry Julian Fink, Rita M. Fink, Terrence Malick, Jo Heims, John Milius","https://m.media-amazon.com/images/M/MV5BMzdhMTM2YTItOWU2YS00MTM0LTgyNDYtMDM1OWM3NzkzNTM2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,3,190,281_.jpg"
https://www.imdb.com/title/tt0107120/?ref_=sr_t_10,Hocus Pocus,6.9,"Comedy, Family, Fantasy","Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz, Thora Birch, Vinessa Shaw, Amanda Shepherd, Larry Bagby, Tobias Jelinek, Stephanie Faracy, Charles Rocket, Doug Jones, Karyn Malchus, Sean Murray, Steve Voboril, Norbert Weisser, Kathleen Freeman, D.A. Pauley","July 16, 1993 (United States)",1 hour 36 minutes,United States,English,"Walt Disney Pictures, Touchwood Pacific Partners 1","A teenage boy named Max and his little sister move to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.","$28,000,000 (estimated)","$50,800,637",PG,Kenny Ortega,"David Kirschner, Mick Garris, Mick Garris, Neil Cuthbert","https://m.media-amazon.com/images/M/MV5BNWM3NmRhMGMtOGE4ZC00MDk0LWI1NjMtMjVlNTEwOTcwZTc0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,1,190,281_.jpg"
https://www.imdb.com/title/tt1981128/?ref_=sr_t_11,Geostorm,5.3,"Action, Sci-Fi, Thriller","Gerard Butler, Jim Sturgess, Abbie Cornish, Alexandra Maria Lara, Daniel Wu, Eugenio Derbez, Amr Waked, Adepero Oduye, Andy Garcia, Ed Harris, Robert Sheehan, Richard Schiff, Mare Winningham, Zazie Beetz, Talitha Eliana Bateman, Daniella Garcia, Ritchie Montgomery, David S. Lee","October 20, 2017 (United States)",1 hour 49 minutes,United States,English,"Warner Bros., Skydance Media, RatPac-Dune Entertainment","When the network of satellites designed to control the global climate starts to attack Earth, it's a race against the clock for its creator to uncover the real threat before a worldwide Geostorm wipes out everything and everyone.","$120,000,000 (estimated)","$221,900,160",PG-13,Dean Devlin,"Dean Devlin, Paul Guyot","https://m.media-amazon.com/images/M/MV5BMTA0OTQwMTIxNzheQTJeQWpwZ15BbWU4MDQ1MzI3OTMy._V1_QL75_UX190_CR0,0,190,281_.jpg"
https://www.imdb.com/title/tt15654328/?ref_=sr_t_12,Leo,7.2,"Action, Crime, Drama","Joseph Vijay, Sanjay Dutt, Trisha Krishnan, Arjun Sarja, Gautham Vasudev Menon, Mysskin, Mansoor Ali Khan, Priya Anand, Kamal Haasan, Anurag Kashyap, Babu Antony, Dinesh, Punya Elizabeth, Pooja Fiya, Tajamul Gani, Jawahar, Mukhtar Khan, Maya Krishnan","November 21, 2023 (United States)",2 hours 44 minutes,India,Tamil,"Seven Screen Studio, The Route","Parthiban is a mild-mannered cafe owner in Kashmir, who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them.",,,,Lokesh Kanagaraj,"Lokesh Kanagaraj, Rathna Kumar, Deeraj Vaidy","https://m.media-amazon.com/images/M/MV5BMmFiOGYyZjQtZmZmNC00ZTgzLWI5ZjktMTRiYzc5NjAzODRkXkEyXkFqcGdeQXVyMTYyNDkzNzgz._V1_QL75_UX190_CR0,3,190,281_.jpg"
https://www.imdb.com/title/tt2372220/?ref_=sr_t_13,The White Queen,7.7,"Drama, History, Romance","Aneurin Barnard, Rebecca Ferguson, Amanda Hale, Faye Marsay, Max Irons, Ben Lamb, Tom McKay, Juliet Aubrey, David Oakes, Eleanor Tomlinson, Caroline Goodall, Janet McTeer, Eve Ponsonby, Pieter D'Hondt, James Frain, Rupert Graves, Michael Maloney, Otto Farrant","August 10, 2013 (United States)",1 hour,United Kingdom,English,"BBC Drama Productions, BNP Paribas Fortis Film Finance, Company Pictures","Three different, yet equally relentless women vie for the throne in 15th-century England.",,,TV-MA,"Colin Teague, James Kent, Jamie Payne","Malcolm Campbell, Emma Frost, Emma Frost, Philippa Gregory, Lisa McGee, Nicole Taylor","https://m.media-amazon.com/images/M/MV5BMTA4ODgxMjEzNjNeQTJeQWpwZ15BbWU4MDY0MjAzMDAx._V1_QL75_UY281_CR5,0,190,281_.jpg"
