Links,Movie,Actors,Duration,Ratings,Release Date,Country,Budget,Box Office,Certificate,Original Language,Companies,Genres,Directors,Writing Credits,poster_path
https://www.imdb.com/title/tt0353969/?ref_=sr_t_1,Hồi Ức Kẻ Sát Nhân,"Song Kang-ho, Kim Sang-kyung, Kim Roe-ha, Song Jae-ho, Byun Hee-Bong, Ko Seo-hie, Ryu Tae-ho, Park No-shik, Park Hae-il, Jeon Mi-seon, Seo Young-hwa, Woo Go-na, Ok-joo Lee, Choi Jong-ryol, Yoo Seung-mok, Hun-Kyung Lee, Shin Hyun-jong, Lee Jae-eung",2 hours 11 minutes,8.1,"May 2, 2003 (South Korea)",South Korea,"$2,800,000 (estimated)","$1,208,481 ",Not Rated,Korean,"Sidus, CJ Entertainment, Muhan Investment","Crime, Drama, Mystery",Bong Joon Ho,"Bong Joon Ho, Kwang-rim Kim, Sung-bo Shim",posters5/poster_1.jpg
https://www.imdb.com/title/tt0295297/?ref_=sr_t_2,Harry Potter và Phòng Chứa Bí Mật,"Daniel Radcliffe, Rupert Grint, Emma Watson, Richard Harris, Richard Griffiths, Fiona Shaw, Harry Melling, Toby Jones, Jim Norton, Veronica Clifford, James Phelps, Oliver Phelps, Julie Walters, Bonnie Wright, Mark Williams, Chris Rankin, Tom Felton, Jason Isaacs",2 hours 41 minutes,7.4,"November 15, 2002 (United Kingdom)",United Kingdom,"$100,000,000 (estimated)","$882,544,885 ",P,English,"Warner Bros., Heyday Films, 1492 Pictures","Adventure, Family, Fantasy",Chris Columbus,"J.K. Rowling, Steve Kloves",posters5/poster_2.jpg
https://www.imdb.com/title/tt0080240/?ref_=sr_t_3,"Magnum, P.I.","Tom Selleck, John Hillerman, Roger E. Mosley, Larry Manetti, Gillian Dobb, Kwan Hi Lim, Jeff MacKay, Kathleen Lloyd, Glenn Cannon, Patrick Bishop, Elisha Cook Jr., Lance LeGault, Jean Bruce Scott, Elissa Dulce Hoopai, Esmond Chung, James Grant Benton, Clyde Kusatsu, Phyllis Davis",48 minutes,7.5,"December 11, 1980 (United States)",United States,,,TV-PG,English,"Belisarius Productions, Glen A. Larson Productions, Universal Television","Action, Adventure, Crime","Michael Vejar, Ivan Dixon, Ray Austin, Russ Mayberry, Alan J. Levi, Lawrence Doheny, John Llewellyn Moxey, Harry Harris, Winrich Kolbe, Bernard L. Kowalski, Virgil W. Vogel, Burt Brinckerhoff, Harvey S. Laidman, Sidney Hayers, Leo Penn, James Frawley, David Hemmings, Jerry Jameson, Donald P. Bellisario, Roger Young, Robert Loggia, Harry Falk, Georg Stanford Brown, Arthur Allan Seidelman, Tony Wharmby, Ray Danton, Jackie Cooper, John C. Flinn III, Bruce Seth Green, Ron Satlof, Rod Daniel, Jeffrey Hayden, Burt Kennedy, Michael O'Herlihy, Gilbert M. Shilton, Robert C. Thompson, Robert Totten, Stuart Margolin, Vincent McEveety, Roger E. Mosley, John Patterson, Douglas Heyes, Reuben Leder, Peter Medak, Rick Weaver, Corey Allen, Joan Darling","Donald P. Bellisario, Donald P. Bellisario, Donald P. Bellisario, Donald P. Bellisario, Donald P. Bellisario, Donald P. Bellisario, Donald P. Bellisario, Glen A. Larson, Glen A. Larson, Reuben Leder, Reuben Leder, Reuben Leder, Reuben Leder, Chris Abbott, Chris Abbott, Chris Abbott, Chris Abbott, Chris Abbott, Jay Huguely, Jay Huguely, Jay Huguely, Robert Hamilton, Robert Hamilton, Bruce Cervi, Bruce Cervi, Babs Greyhosky, Babs Greyhosky, Babs Greyhosky, Babs Greyhosky, Rob Gilmer, Rob Gilmer, Rob Gilmer, Andrew Schneider, Andrew Schneider, Andrew Schneider, Andrew Schneider, Rogers Turrentine, Rogers Turrentine, Rogers Turrentine, Rogers Turrentine, Nick Thiel, Nick Thiel, Nick Thiel, Stephen A. Miller, Stephen A. Miller, Chas. Floyd Johnson, Jeri Taylor, Diane Frolov, Frank Lupo, J. Miyoko Hensley, J. Miyoko Hensley, Steven Hensley, Steven Hensley, Richard Yalem, Richard Yalem, Richard Yalem, Louis F. Vipperman, Jill Donner, Deborah Pratt, Phil Combest, Craig Buck, Craig Buck, Chris Bunch, Jim Carlson, Allan Cole, Caroline Elias, Terrence McDonnell, T.J. Miles, T.J. Miles, Ken Pettus, Jeff Wilhelm, Alan Cassidy, Alan Cassidy, Philip DeGuere Jr., George Geiger, Tom Greene, Lance Madrid III, Del Reisman, Bob Shayne, Alan Sutterfield, Bill Taub, Robert Van Scoyk, J. Rickley Dumm, Julie Friedgen, Stephen Katz, Judy Burns, David Chomsky, Fay Nakagawara, Sybil Adelman, Gene Donalds, Mary Lee Gaylor, Joe Gores, Joe Gores, Anthony Pellicano, Martin Sage, Deborah Dean Davis, Mary Ann Kasica, Roger E. Mosley, James L. Novack, Michael Scheff, Cal Wilson, Kimmer Ringwald, Tom Selleck",posters5/poster_3.jpg
https://www.imdb.com/title/tt0378194/?ref_=sr_t_4,Cô Dâu Báo Thù 2,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah, Vivica A. Fox, Ambrosia Kelley, Michael Parks, James Parks, Jonathan Loughran, Michael Bowen, Kenji Ôba, Yoshiyuki Morishita, Jun Kunimura, Goro Daimon, Kazuki Kitamura, Akaji Maro, Shun Sugata, The 5.6.7.8's",2 hours 17 minutes,8,"April 16, 2004 (United States)",United States,"$30,000,000 (estimated)","$154,118,514 ",R,English,"Miramax, A Band Apart, Super Cool ManChu","Action, Crime, Thriller",Quentin Tarantino,"Quentin Tarantino, Quentin Tarantino, Uma Thurman",posters5/poster_4.jpg
https://www.imdb.com/title/tt0072856/?ref_=sr_t_5,Death Race 2000,"David Carradine, Sylvester Stallone, Simone Griffeth, Mary Woronov, Roberta Collins, Martin Kove, Louisa Moritz, Don Steele, Joyce Jameson, Carle Bensen, Sandy McCallum, Paul L. Ehrmann, Harriet Medin, Vince Trankina, Bill Morey, Fred Grandy, William Shephard, Leslie McRay",1 hour 20 minutes,6.2,"November 28, 1975 (West Germany)",United States,"$300,000 (estimated)",,R,English,New World Pictures,"Action, Comedy, Sci-Fi",Paul Bartel,"Robert Thom, Charles B. Griffith, Ib Melchior",posters5/poster_5.jpg
https://www.imdb.com/title/tt0193676/?ref_=sr_t_6,Quái Đản Và Lập Dị,"Linda Cardellini, John Francis Daley, James Franco, Samm Levine, Seth Rogen, Jason Segel, Martin Starr, Becky Ann Baker, Joe Flaherty, Busy Philipps, Jerome Elston Scott, Steve Bannos, Dave Allen, Sarah Hagan, Jerry Messing, Natasha Melnick, Stephen Lea Sheppard, Chauncey Leopardi",45 minutes,8.8,"September 25, 1999 (United States)",United States,,,TV-14,English,"Apatow Productions, DreamWorks Television","Comedy, Drama","Jake Kasdan, Judd Apatow, Bryan Gordon, Ken Kwapis, Lesli Linka Glatter, Miguel Arteta, Paul Feig, Danny Leiner, Ken Olin","Paul Feig, Paul Feig, Judd Apatow, Judd Apatow, Judd Apatow, Mike White, Mike White, Jeff Judah, Bob Nickman, Gabe Sachs, J. Elvis Weinstein, J. Elvis Weinstein, Patty Lin, Steve Bannos, Jonathan Kasdan, Jonathan Kasdan, Rebecca Kirshner, Rebecca Kirshner",posters5/poster_6.jpg
https://www.imdb.com/title/tt0312081/?ref_=sr_t_7,8 Simple Rules... for Dating My Teenage Daughter,"Katey Sagal, Kaley Cuoco, Amy Davidson, Martin Spanjers, James Garner, David Spade, John Ritter, Billy Aaron Brown, Larry Miller, Adam Arkin, Nicole Hayden, Liam Kyle Sullivan, Cole Williams, Thad Luckinbill, Nicole Mansour, Howard Alonzo, Artie Anderson, John Ratzenberger",30 minutes,7,"September 17, 2002 (United States)",United States,,,TV-PG,English,"Touchstone Television, American Broadcasting Company (ABC), Flody Co.","Comedy, Drama","James Widdoes, Lynn M. McCracken, Robby Benson, Mark Cendrowski, Terry Hughes, Pat Fischer-Doak, Gil Junger, Barnet Kellman","Tracy Gamble, Tracy Gamble, Tracy Gamble, W. Bruce Cameron, W. Bruce Cameron, W. Bruce Cameron, W. Bruce Cameron, W. Bruce Cameron, W. Bruce Cameron, Bonnie Kallman, Bonnie Kallman, Bonnie Kallman, Martin Weiss, Martin Weiss, Martin Weiss, Paul F. Ciancarelli, Paul F. Ciancarelli, David S. DiPietro, David S. DiPietro, Bill Daly, Bill Daly, Bill Callahan, Seth Kurland, Steve Baldikoski, Steve Baldikoski, Bryan Behar, Bryan Behar, Christy Jacobs, Christy Jacobs, Philip Wen, Gayle Abrams, David Flebotte, David Flebotte, Rob Hanning, Rob Hanning, Tamiko K. Brooks, Michael Langworthy, Michael Langworthy, Dena Waxman, Janis Hirsch, Rosalind Moore, Hayes Jackson, Grant Nieporte, Robert Spina, Kathy Ann Stumpe, John Peaslee, John Peaslee, Judd Pillot, Judd Pillot, Amy Engelberg, Wendy Engelberg, Kim C. Friese, Heather MacGillvray, Linda Mathious, Donald R. Beck, Laurie Gelman, Ric Swartzlander, Jeremiah Leibowitz",posters5/poster_7.jpg
https://www.imdb.com/title/tt0840361/?ref_=sr_t_8,Thị Trấn Tội Ác,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner, Blake Lively, George Carroll, Owen Burke, Titus Welliver, Pete Postlethwaite, Chris Cooper, Dennis McLaughlin, Corena Chase, Brian Scannell, Kerri Dunbar, Tony V., Isaac Bordoy, Michael Yebba, Daniel Woods",2 hours 5 minutes,7.5,"September 17, 2010 (United States)",United States,"$37,000,000 (estimated)","$154,026,136 ",R,English,"Warner Bros., Legendary Entertainment, GK Films","Crime, Drama, Thriller",Ben Affleck,"Peter Craig, Ben Affleck, Aaron Stockard, Chuck Hogan",posters5/poster_8.jpg
https://www.imdb.com/title/tt0139654/?ref_=sr_t_9,Ngày Huấn Luyện,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Charlotte Ayanna, Eva Mendes, Nick Chinlund, Jaime Gomez, Raymond Cruz, Noel Gugliemi, Samantha Esteban, Richard Browner",2 hours 2 minutes,7.7,"October 5, 2001 (United States)",United States,"$45,000,000 (estimated)","$104,876,233 ",R,English,"Warner Bros., Village Roadshow Pictures, NPV Entertainment","Crime, Drama, Thriller",Antoine Fuqua,David Ayer,posters5/poster_9.jpg
https://www.imdb.com/title/tt0119528/?ref_=sr_t_10,"Đừng Nói Dối, Bố Ơi","Jim Carrey, Maura Tierney, Amanda Donohoe, Jennifer Tilly, Justin Cooper, Cary Elwes, Anne Haney, Jason Bernard, Swoosie Kurtz, Mitchell Ryan, Christopher Mayer, Eric Pierpoint, Randall 'Tex' Cobb, Cheri Oteri, SW Fisher, Ben Lemon, Jarrad Paul, Marianne Muellerleile",1 hour 26 minutes,6.9,"March 21, 1997 (United States)",United States,"$45,000,000 (estimated)","$302,710,615 ",PG-13,English,"Universal Pictures, Imagine Entertainment","Comedy, Fantasy",Tom Shadyac,"Paul Guay, Stephen Mazur",posters5/poster_10.jpg
