Movie_Link,Movie_Name,Ratings,Movie_category,Film_Actor,Release_Date,Duration,Original_Language,Description,Box Office,Budget,Directors,Writing_Credits,poster_path
https://www.themoviedb.org/movie/653346-kingdom-of-the-planet-of-the-apes,Hành Tinh Khỉ: Vương Quốc Mới,72%,"Phim Khoa Học Viễn Tưởng, Phim Phiêu Lưu, Phim Hành Động","[('Owen Teague', 'Noa'), ('Freya Allan', 'Nova / Mae'), ('Kevin Durand', 'Proximus Caesar'), ('Peter Macon', 'Raka'), ('William H. Macy', 'Trevathan'), ('Eka Darville', 'Sylva'), ('Travis Jeffery', 'Anaya'), ('Neil Sandilands', 'Koro'), ('Sara Wiseman', 'Dar')]",05/10/2024 (VN),2h 25m,Tiếng Anh,"Phim lấy bối cảnh nhiều năm sau triều đại của Proximus Ceasar trong Đại Chiến Hành Tinh Khỉ (2017). Khỉ trở thành giống loài thống trị thế giới, còn con người phải khép mình trong bóng tối. Triều đại độc tài mới được thiết lập. Noa – một chú khỉ trẻ đặt ra những câu hỏi về quá khứ của hành tinh khỉ và dấn thân vào hành trình chống lại đế chế mới.",-,-,Wes Ball,,posters3/poster_1.jpg
https://www.themoviedb.org/movie/940721-1-0,Quái Vật Godzilla Trừ Một,77%,"Phim Khoa Học Viễn Tưởng, Phim Kinh Dị, Phim Hành Động","[('Ryunosuke Kamiki', 'Koichi Shikishima'), ('Minami Hamabe', 'Noriko Oishi'), ('Yuki Yamada', 'Shiro Mizushima'), ('Munetaka Aoki', 'Sosaku Tachibana'), ('Hidetaka Yoshioka', 'Kenji Noda'), ('Sakura Ando', 'Sumiko Ota'), ('Kuranosuke Sasaki', 'Yoji Akitsu'), ('Saki Nakatani', 'Akiko'), ('Mio Tanaka', 'Captain Tatsuo Hotta')]",11/03/2023 (JP),2h 5m,Tiếng Nhật,"Lấy bối cảnh 2 năm sau khi Thế chiến thứ hai kết thúc, kinh tế nước Nhật lúc này bị ảnh hưởng nặng nề, người dân bắt tay xây dựng lại đất nước từ tro tàn. Lúc này, Nhật Bản bị cấm vận, không chỉ kinh tế mà hầu như lĩnh vực nào cũng bị ảnh hưởng trầm trọng. Bất ngờ từ biển khơi, Godzilla xuất hiện, biến quốc gia vốn đang trong tình trạng ""số không"" trở thành ""số âm"".","$115,857,413.00 ","$15,000,000.00 ",Takashi Yamazaki,Takashi Yamazaki,posters3/poster_2.jpg
https://www.themoviedb.org/movie/967847-ghostbusters-frozen-empire,Biệt Đội Săn Ma: Kỷ Nguyên Băng Giá,67%,"Phim Giả Tượng, Phim Phiêu Lưu, Phim Hài","[('Mckenna Grace', 'Phoebe Spengler'), ('Paul Rudd', 'Gary Grooberson'), ('Carrie Coon', 'Callie Spengler'), ('Finn Wolfhard', 'Trevor Spengler'), ('Dan Aykroyd', 'Ray Stantz'), ('Kumail Nanjiani', 'Nadeem Razmaadi'), ('Patton Oswalt', 'Dr. Hubert Wartzki'), (""Celeste O'Connor"", 'Lucky Domingo'), ('Logan Kim', 'Podcast')]",03/22/2024 (US),1h 55m,Tiếng Anh,"Chuyện phim kể về gia đình Spengler quyết định rời khỏi vùng Summerville, Oklahoma để trở lại New York. Tại đây, “biệt đội săn ma nguyên bản” đã phát triển một phòng thí nghiệm nghiên cứu bảo mật cấp cao, tìm cách đưa việc tiêu diệt các hồn ma lên một bước tiến mới bằng loại vũ khí proton tối tân. Tuy nhiên, sự cố xảy ra đã vô tình giải phóng Death Chill - thế lực bí ẩn và độc ác nằm bên trong một món cổ vật. Điều này khiến cả những “cựu binh” và “tân binh” của biệt đội săn ma phải hợp tác để bảo vệ ngôi nhà của họ, cũng như bảo vệ thế giới trước mối hiểm họa mang tên Death Chill.","$195,102,874.00 ","$100,000,000.00 ",Gil Kenan,,posters3/poster_3.jpg
https://www.themoviedb.org/movie/1111873-abigail,Abigail,71%,"Phim Kinh Dị, Phim Gây Cấn","[('Melissa Barrera', 'Joey'), ('Dan Stevens', 'Frank'), ('Alisha Weir', 'Abigail'), ('Kathryn Newton', 'Sammy'), ('Kevin Durand', 'Peter'), ('William Catlett', 'Rickles'), ('Angus Cloud', 'Dean'), ('Giancarlo Esposito', 'Lambert'), ('Matthew Goode', 'Father')]",05/17/2024 (VN),1h 49m,Tiếng Anh,"Một nhóm tội phạm bắt cóc một diễn viên ba lê nhí - con gái của một ông trùm quyền lực trong thế giới ngầm. Chúng trốn đến một biệt thự biệt lập, nhưng không hề hay biết mình đang bị giam cầm cùng một ""cô bé"" hoàn toàn không bình thường.","$28,536,335.00 ","$28,000,000.00 ","Tyler Gillett, Matt Bettinelli-Olpin","Stephen Shields, Guy Busick",posters3/poster_4.jpg
https://www.themoviedb.org/movie/823464-godzilla-x-kong-the-new-empire,Godzilla x Kong: Đế Chế Mới,65%,"Phim Hành Động, Phim Khoa Học Viễn Tưởng, Phim Phiêu Lưu","[('Rebecca Hall', 'Dr. Ilene Andrews'), ('Brian Tyree Henry', 'Bernie Hayes'), ('Dan Stevens', 'Trapper'), ('Kaylee Hottle', 'Jia'), ('Alex Ferns', 'Mikael'), ('Fala Chen', 'Iwi Queen'), ('Rachel House', 'Hampton'), ('Ron Smyck', 'Harris'), ('Chantelle Jamieson', 'Jayne')]",03/29/2024 (VN),1h 55m,Tiếng Anh,"Kong và Godzilla - hai sinh vật vĩ đại huyền thoại, hai kẻ thủ truyền kiếp sẽ cùng bắt tay thực thi một sứ mệnh chung mang tính sống còn để bảo vệ nhân loại, và trận chiến gắn kết chúng với loài người mãi mãi sẽ bắt đầu.","$546,503,756.00 ","$150,000,000.00 ",Adam Wingard,"Terry Rossio, Simon Barrett, Jeremy Slater",posters3/poster_5.jpg
https://www.themoviedb.org/movie/843527-the-idea-of-you,Ý Niệm Về Anh,75%,"Phim Lãng Mạn, Phim Hài","[('Anne Hathaway', 'Solène Marchand'), ('Nicholas Galitzine', 'Hayes Campbell'), ('Ella Rubin', 'Izzy'), ('Annie Mumolo', 'Tracy'), ('Reid Scott', 'Daniel'), ('Perry Mattfeld', 'Eva'), ('Jordan Aaron Hall', 'Zeke'), ('Mathilda Gianopoulos', 'Georgia'), ('Meg Millidge', 'Claire')]",05/02/2024 (US),1h 56m,Tiếng Anh,"40-year-old single mom Solène begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.","$36,178.00 ",-,Michael Showalter,"Michael Showalter, Jennifer Westfeldt",posters3/poster_6.jpg
https://www.themoviedb.org/movie/693134-dune-part-two,Hành Tinh Cát: Phần Hai,82%,"Phim Khoa Học Viễn Tưởng, Phim Phiêu Lưu","[('Timothée Chalamet', 'Paul Atreides'), ('Zendaya', 'Chani'), ('Rebecca Ferguson', 'Jessica'), ('Javier Bardem', 'Stilgar'), ('Josh Brolin', 'Gurney Halleck'), ('Austin Butler', 'Feyd-Rautha'), ('Florence Pugh', 'Princess Irulan'), ('Dave Bautista', 'Beast Rabban'), ('Christopher Walken', 'Emperor')]",03/01/2024 (VN),2h 47m,Tiếng Anh,"Hãy theo chân hành trình của Paul Atreides khi anh ấy cùng với Chani và những người Fremen trên con đường trả thù những kẻ đã âm mưu phá hủy gia đình của anh. Đối diện với sự lựa chọn giữa tình yêu của đời mình và số phận của vũ trụ rộng lớn, Paul phải cố ngăn chặn một tương lai kinh khủng chỉ có anh mới nhìn thấy được.","$704,300,257.00 ","$190,000,000.00 ",Denis Villeneuve,"Denis Villeneuve, Jon Spaihts",posters3/poster_7.jpg
https://www.themoviedb.org/movie/1011985-kung-fu-panda-4,Kung Fu Panda 4,71%,"Phim Hoạt Hình, Phim Hành Động, Phim Gia Đình, Phim Hài, Phim Giả Tượng","[('Jack Black', 'Po (voice)'), ('Awkwafina', 'Zhen (voice)'), ('Viola Davis', 'The Chameleon (voice)'), ('Dustin Hoffman', 'Shifu (voice)'), ('Bryan Cranston', 'Li (voice)'), ('James Hong', 'Mr. Ping (voice)'), ('Ian McShane', 'Tai Lung (voice)'), ('Ke Huy Quan', 'Han (voice)'), ('Ronny Chieng', 'Fish (voice)')]",03/08/2024 (VN),1h 34m,Tiếng Anh,"Sau khi Po được chọn trở thành Thủ lĩnh tinh thần của Thung lũng Bình Yên, Po cần tìm và huấn luyện một Chiến binh Rồng mới, trong khi đó một mụ phù thủy độc ác lên kế hoạch triệu hồi lại tất cả những kẻ phản diện mà Po đã đánh bại về cõi linh hồn.","$520,540,090.00 ","$85,000,000.00 ",Mike Mitchell,,posters3/poster_8.jpg
https://www.themoviedb.org/movie/1219685-un-pere-ideal,Un père idéal,50%,"Phim Chính Kịch, Chương Trình Truyền Hình","[('Laurent Gerra', 'Michel'), ('Eddy Mitchell', 'Jeff'), ('Laure-Lucille Simon', 'Florence Pasquier'), ('Jérôme Kircher', 'Max'), ('Tess Barthélémy', 'Christelle'), ('Bérangère Bonvoisin', 'Sylvie'), ('Denez Raoul', 'Paul'), ('Alice Aliaga', 'Karine'), ('Rufus', ""L'Evêque"")]",04/21/2024 (BE),,Tiếng Pháp,We don't have an overview translated in English. Help us expand our database by adding one.,-,-,Hélène Fillières,"Hélène Fillières, Claude Scasso",posters3/poster_9.jpg
https://www.themoviedb.org/movie/1094844-ape-vs-mecha-ape,Siêu Khỉ Cuồng Nộ,54%,"Phim Hành Động, Phim Khoa Học Viễn Tưởng","[('Tom Arnold', 'Hamilton'), ('Eugenia Kuzmina', 'Zara'), ('Corbin Timbrook', 'Pierce'), ('Jack Pearson', 'Joel'), ('Brendan Petrizzo', 'Volodrezjkan Soldier'), ('Xander Bailey', 'Arnott'), ('Lindsey Marie Wilson', 'Blanka'), ('Lisa Lee', 'Laura'), ('Maureen Kedes', 'Boyd')]",01/12/2024 (VN),1h 20m,Tiếng Anh,"Recognizing the destructive power of its captive giant Ape, the military makes its own battle-ready A.I., Mecha Ape. But its first practical test goes horribly wrong, leaving the military no choice but to release the imprisoned giant ape to stop the colossal robot before it destroys downtown Chicago.",-,-,Marc Gottlieb,,posters3/poster_10.jpg
